city_id,BPS_poverty_rate,sum_price_car,avg_price_car,std_price_car,sum_sold_car,avg_sold_car,std_sold_car,sum_viewer_car,avg_viewer_car,std_viewer_car,sum_buyer_car,avg_buyer_car,std_buyer_car,sum_price_motor,avg_price_motor,std_price_motor,sum_sold_motor,avg_sold_motor,std_sold_motor,sum_viewer_motor,avg_viewer_motor,std_viewer_motor,sum_buyer_motor,avg_buyer_motor,std_buyer_motor,sum_price_rumah_sell,avg_price_rumah_sell,std_price_rumah_sell,sum_sold_rumah_sell,avg_sold_rumah_sell,std_sold_rumah_sell,sum_viewer_rumah_sell,avg_viewer_rumah_sell,std_viewer_rumah_sell,sum_buyer_rumah_sell,avg_buyer_rumah_sell,std_buyer_rumah_sell,sum_price_rumah_rent,avg_price_rumah_rent,std_price_rumah_rent,sum_sold_rumah_rent,avg_sold_rumah_rent,std_sold_rumah_rent,sum_viewer_rumah_rent,avg_viewer_rumah_rent,std_viewer_rumah_rent,sum_buyer_rumah_rent,avg_buyer_rumah_rent,std_buyer_rumah_rent,sum_price_apt_sell,avg_price_apt_sell,std_price_apt_sell,sum_sold_apt_sell,avg_sold_apt_sell,std_sold_apt_sell,sum_viewer_apt_sell,avg_viewer_apt_sell,std_viewer_apt_sell,sum_buyer_apt_sell,avg_buyer_apt_sell,std_buyer_apt_sell,sum_price_apt_rent,avg_price_apt_rent,std_price_apt_rent,sum_sold_apt_rent,avg_sold_apt_rent,std_sold_apt_rent,sum_viewer_apt_rent,avg_viewer_apt_rent,std_viewer_apt_rent,sum_buyer_apt_rent,avg_buyer_apt_rent,std_buyer_apt_rent,sum_price_land_sell,avg_price_land_sell,std_price_land_sell,sum_sold_land_sell,avg_sold_land_sell,std_sold_land_sell,sum_viewer_land_sell,avg_viewer_land_sell,std_viewer_land_sell,sum_buyer_land_sell,avg_buyer_land_sell,std_buyer_land_sell,sum_price_land_rent,avg_price_land_rent,std_price_land_rent,sum_sold_land_rent,avg_sold_land_rent,std_sold_land_rent,sum_viewer_land_rent,avg_viewer_land_rent,std_viewer_land_rent,sum_buyer_land_rent,avg_buyer_land_rent,std_buyer_land_rent
1,8.00,0.36333852,0.091031025,0.131184434,1.025071359,4.894499469,6.781839451,1.086711251,3.074828399,3.715341653,1.28116905,3.781728536,3.135140812,0.542989976,0.011639391,0.040708698,1.615738279,6.420622093,8.207404254,1.725021854,3.919729016,1.905998791,2.100233241,3.410623467,3.61911445,0.718773371,1.120519638,1.968960821,1.052336258,2.159563484,3.684202371,4.331352595,4.030921911,6.916244792,3.923137853,2.890076228,3.934628976,0.357522049,0.028307077,0.059116346,1.461769115,6.048879837,8.587781656,1.666995174,7.814921822,6.181863306,1.587332847,6.892407678,5.671649373,0.067247767,0.001361571,0.00202561,0.102857143,0.432900433,2.251041347,0.351393497,1.352732785,1.849072947,0.330868762,1.721981722,3.958538397,0.007592604,0.004558341,0.003084198,0.051564111,0.457317073,2.95884352,0.189201557,1.90858361,2.438756794,0.121307634,1.426829268,2.401145998,1.656813665,0.718595728,2.004213523,0.360759494,2.580939367,3.868171079,4.021297948,5.021295929,5.480243017,3.847230423,3.877526721,3.854598583,0.00718639,0.00696527,0.002763668,0.779220779,0.923076923,5.052607857,0.94237467,2.861858974,3.89159224,0.727272727,2.707692308,2.248293376
2,12.67,0.136653806,0.101804362,0.058969909,0.379748698,4.925241689,6.809663407,0.28863283,0.684415974,2.622458771,0.363603022,1.98608526,2.465385318,10,2.22553437,8.497999603,0.494479717,6.222406295,8.071658685,0.505008579,3.352915248,2.074554275,0.617313428,3.002158176,3.16925993,0.717470647,2.973952214,5.203231812,0.308610488,1.167886804,2.259490346,1.530262967,3.252518712,5.642399525,1.387169156,2.3153074,3.150995041,0.240781025,0.051641741,0.247716205,0.547226387,5.772825306,8.451876272,0.56220115,6.570715945,4.538523154,0.627113434,6.957024079,5.379079828,0.012122612,0.001619953,0.002387149,0.057142857,1.587301587,4.171242908,0.08728769,2.21776351,2.252332955,0.094886014,3.259259259,5.160912341,0.001046603,0.003493171,0.001809607,0.024063252,1.186440678,4.612386444,0.066335533,3.720099342,8.936281232,0.036599654,2.393220339,3.515275496,1.74428499,1.946820375,5.369022838,0.132208158,2.124328772,3.3042927,1.593300275,4.784383354,4.330146233,1.693564259,4.204085542,4.248370699,0.004671921,0.011773241,0.003938695,0.25974026,0.8,4.795831523,0.384591029,3.036666667,3.972045387,0.421487603,4.08,2.497260249
3,5.27,0.537574235,0.101053934,0.112846092,1.764264485,6.35061354,7.958310267,1.790388883,4.537833063,5.196001607,1.944369701,4.374545789,4.528700835,0.605879144,0.00460086,0.017413279,2.923195613,8.950033089,9.593045614,2.375230297,4.014244611,1.678807682,2.854955402,3.381724835,3.311800538,0.768325007,0.379878647,0.655383833,3.017751479,2.93067076,4.618037229,4.950361062,1.700301876,3.878848599,4.629133652,1.210042816,1.886716184,0.434283635,0.020340841,0.029139606,2.328835582,5.991000643,8.558718796,2.231894152,6.314036915,5.26911174,2.457443129,6.594652074,5.589882548,0.140378205,0.000998316,0.000751651,0.297142857,0.439263389,2.266017994,0.588554889,0.79581371,1.236107848,0.58163894,1.063242665,2.842842366,0.053087932,0.025876429,0.00758585,0.027500859,0.198019802,1.972715145,0.162062881,1.3272799,0.956686093,0.069674128,0.665346535,0.819534057,1.781257169,0.624444718,1.834086671,0.563994374,3.812739679,5.230785353,3.469216228,3.228818488,3.542146708,3.671630694,2.84338588,3.089068368,0.021596621,0.007086391,0.0031699,2.597402597,1.041666667,5.304843189,3.420580475,3.516710069,5.066724878,3.67768595,4.635416667,3.80381329
4,8.96,0.385464589,0.108247069,0.615933224,1.01403643,4.879871589,6.768728461,1.50579007,6.68172342,6.563706459,1.672443359,6.541828616,5.222841827,0.422586173,0.005978917,0.014706403,1.561317362,6.871876771,8.500968538,1.753838362,5.164324608,2.686738219,2.059722228,3.992542622,4.039198231,1.627012536,1.131417944,2.700087442,3.290654968,3.417717351,5.150727901,6.092252425,2.308186567,5.361008796,5.972088661,1.784150849,2.930613455,0.428898441,0.016178585,0.04073837,2.173913043,4.702856768,7.830609228,2.320414856,5.378080878,4.336897892,2.669170765,5.937410036,4.896477326,0.226648806,0.002371484,0.032441366,0.525714286,1.143425304,3.576212712,0.658332394,1.309688393,1.42712219,0.669131238,1.799652001,3.711979667,0.0049452,0.009363547,0.005805307,0.020625645,0.576923077,3.313358122,0.118825912,3.780403401,2.833322765,0.056299184,2.088461538,2.897046807,2.509149432,0.466510929,1.173469841,0.710970464,2.07344859,3.237652227,7.306218883,3.906824504,5.470252415,7.571234884,3.334304274,4.569374763,0.021165081,0.006116514,0.002260917,2.077922078,0.733944954,4.527288698,4.341530343,3.931192661,4.647033125,4.02892562,4.472477064,4.947806262
5,8.98,0.023335114,0.049626678,0.139922427,0.067239502,2.950740898,4.764830236,0.090637748,2.862345038,2.614677536,0.106293797,3.941186236,3.550330419,0.080553487,0.102527731,0.15757299,0.056923029,4.810126773,6.96692837,0.061727807,3.40536476,1.308017194,0.058015816,1.365742631,0.54854536,0.004482393,0.282780307,0.028540166,0.0117323,1.16602717,2.261968913,0.105589447,5.805904769,5.776099724,0.118098659,5.371743297,3.888540359,0.002705412,0.007147693,0.003971809,0.037481259,6.564986737,8.901715659,0.018451358,3.311304153,1.238188803,0.021662696,3.782104862,1.24397246,0.000276318,0.000553868,0.000545867,0,0,0,0.003674717,1.400481541,1.545352053,0.004929144,2.53968254,4.842949286,3.05868E-05,0.002007719,0.000380072,0,0,0,0.000714789,0.788346187,0.544587198,0.000207363,0.266666667,0.431729566,0.028297762,0.255969713,0.143366292,0.012658228,2.23824299,3.462503247,0.166831757,4.794118469,3.461122636,0.229941613,5.740806876,5.340865776,0.000160952,0.002534991,0.00057129,0,0,0,0.034828496,1.71875,1.741493657,0.02892562,1.75,1.214742922
6,12.21,0.035303995,0.028243701,0.001268456,0.126975252,3.819475668,5.740276282,0.151290357,2.989827784,1.891206995,0.177865279,3.920175489,2.042031847,0.101086487,0.056616621,0.130493928,0.101022738,4.240669115,6.442402799,0.138612969,3.832616761,1.257881363,0.164789337,3.031937867,1.945268655,0.091472358,1.400428628,1.637725761,0.078555397,1.240626785,2.375955304,0.579242091,5.246109353,6.364781149,0.506753982,3.660356534,3.892240069,0.057531722,0.014746831,0.058467637,0.167416292,2.501131222,6.010679624,0.164082938,2.068287439,1.872597598,0.236848678,3.272186584,2.465383672,0.004944867,0.001875204,0.001615203,0.011428571,0.900900901,3.241991751,0.025407141,1.831916186,1.908942591,0.013247073,1.291291291,2.445334039,0.000304697,0.004285786,0.003536001,0,0,0,0.010310055,2.436650753,1.963392264,0.005909859,1.628571429,1.30728939,0.229740751,0.514605652,1.42623425,0.047819972,1.391984993,2.312390739,0.639489587,4.099076601,3.103641474,0.649369109,3.423221074,2.706904854,0.001012165,0.00455474,0.000836715,0,0,0,0.177519789,2.50297619,3.692876843,0.181818182,3.142857143,2.211880287
7,14.77,0.059696889,0.093861382,0.178480253,0.179942913,4.953540819,6.83546371,0.211492021,4.494113325,2.162800108,0.282298635,6.612987037,3.353817778,0.04388759,0.00758486,0.003279292,0.165764864,6.907837767,8.524531404,0.172248141,5.030638228,1.415368493,0.227302364,4.73585182,3.521850327,0.169569071,3.400583107,5.94040719,0.091817996,2.139060209,3.658856916,0.52899433,5.777175088,5.72304271,0.526569549,4.670237561,3.884762469,0.030950948,0.016262473,0.047035499,0.172413793,5.15158371,8.117366751,0.149705513,4.709715008,2.394285771,0.166000615,4.995961421,2.476948643,0.013870503,0.000949367,0.002537286,0.034285714,0.487804878,2.389599656,0.063112475,0.82132091,1.12955313,0.057301294,1.008130081,1.821998546,2.45332E-05,0.001207769,0.000467354,0,0,0,0.005011293,4.145244216,1.553200863,0.002488362,2.4,1.33067989,0.087348327,0.285576561,0.326291974,0.035161744,1.977028608,3.117687648,0.551355221,6.000785983,5.007883139,0.611209517,5.529847112,4.716946193,0.000242082,0.005083722,0.000727599,0,0,0,0.050765172,3.340277778,2.493935139,0.066115702,5.333333333,5.965152879
8,12.81,0.101526019,0.196823188,0.411713655,0.162287026,3.448223395,5.338964606,0.169963622,1.34703634,1.237990716,0.221534584,2.990766364,1.329265192,0.194358831,0.072154563,0.080480638,0.176086073,4.707114165,6.874258988,0.231782745,3.929446171,0.602687662,0.274228674,3.119903195,1.319765604,0.057903634,0.897215673,1.538565959,0.055090798,0.7240574,1.502921707,0.516802208,5.120519486,5.902031993,0.506674508,4.062317595,4.426818709,0.027507149,0.019607594,0.035295709,0.132433783,5.174556213,8.134518227,0.14152139,6.092117141,3.109003225,0.168834537,6.970699446,4.531949487,5.58961E-05,0.000784291,0,0,0,0,0.001800506,4.803370787,0,0.000308071,1.111111111,0,0.000579079,0.01629031,0.005903118,0,0,0,0.010566447,4.99449137,2.662189617,0.00539145,2.971428571,2.488136771,0.102648628,0.28624903,0.27456586,0.035864979,1.487826282,2.450652725,0.792407633,7.612227711,7.152804641,0.762207789,5.943989562,5.193506314,0.013251046,0.278271966,0.08784162,0,0,0,0.063324538,4.166666667,5.92008119,0.074380165,6,4.664178965
9,14.98,0.022448381,0.214955047,0.396940194,0.035606038,3.061471789,4.898462437,0.045870767,3.32107502,2.176022528,0.079208615,8.075196118,7.575627011,0.015661031,0.00933242,0.001630897,0.038991232,3.862056704,6.067502336,0.052406327,4.080538855,0.861016337,0.077456768,4.479451493,4.155009716,0.009816352,1.033813015,0.850826473,0.0076515,0.748583921,1.552448573,0.078032595,5.021923922,3.912321681,0.086706351,4.627338711,3.763449194,0.003833361,0.012344414,0.004859883,0.022488756,4.153846154,7.524319545,0.016363303,3.053773184,1.359632863,0.020077621,3.691297091,1.480764364,0.00021105,0.000423041,1.32566E-05,0,0,0,0.004569705,1.741573034,1.405405131,0.002772643,1.428571429,2.538623824,0,0,0,0,0,0,0,0,0,0,0,0,0.122268096,1.458282113,2.053897734,0.011251758,2.356682018,3.612481036,0.106444649,3.236095547,2.208867273,0.16925802,4.720935136,2.909161348,0.000375554,0.00394332,0.000950031,0,0,0,0.056253298,1.850694444,1.363908567,0.078512397,3.166666667,1.30509173
11,13.97,0.018892863,0.000138123,0.00949662,0.104611129,4.730507855,6.634949165,0.102994678,2.885401567,1.298730839,0.142414773,5.281043286,1.412814843,0.031191342,0.03003916,0.045794638,0.064742126,6.034850839,7.941147715,0.066201355,4.683807664,1.442552325,0.070741657,2.79624421,2.000186497,0.005909148,0.249834127,0.020532055,0.043358498,4.467069215,6.187377945,0.199830249,8.158366301,8.422771607,0.217547373,7.310869586,7.442920974,0.007852923,0.029894979,0.030856833,0.034982509,6.705370102,8.97019739,0.028802643,6.301336722,3.889880833,0.032470028,6.716699815,3.533638506,0.000116278,0.000407881,1.29166E-07,0,0,0,0.008244422,5.498595506,3.561940207,0.004004929,3.611111111,4.278288386,4.22162E-05,0.004156606,0.001264903,0,0,0,0.001429578,2.36503856,0.558245201,0.000103682,0.2,0.264379286,0.017795056,0.12243539,0.059078856,0.020393812,3.802855578,5.236240411,0.34927573,9.965206943,7.288111138,0.421723633,10,8.377670368,0.000127715,0.001149432,0.000223579,0,0,0,0.253192612,7.139880952,8.76267629,0.132231405,4.571428571,2.128189301
